date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:43:36	102/102	---M--	200	added ('OK')	text/plain	etag:%225945bcd-66-452b6a9415800%22	http://www.zygorguides.com/robots.txt		(from )
08:43:37	24982/24982	---MC-	200	added ('OK')	text/html	date:Thu,%2029%20Oct%202009%2013:43:33%20GMT	http://www.zygorguides.com/members/dkplayers.php	C:/My%20Web%20Sites/Death%20Knight%20Players%20Guide/www.zygorguides.com/members/dkplayers.html	(from )
08:43:37	14918/14918	---M--	200	added ('OK')	text/css	etag:%2259580b4-3a46-47702597f5680%22	http://www.zygorguides.com/css/peach.css	C:/My%20Web%20Sites/Death%20Knight%20Players%20Guide/www.zygorguides.com/css/peach.css	(from )
08:43:38	6705/6705	---M--	200	added ('OK')	application/javascript	etag:%225958641-1a31-458a985b82dc0%22	http://www.zygorguides.com/js/flashembed.js	C:/My%20Web%20Sites/Death%20Knight%20Players%20Guide/www.zygorguides.com/js/flashembed.js	(from )
08:43:38	4573/4573	---M--	200	added ('OK')	application/javascript	etag:%22595863f-11dd-45b9862d31580%22	http://www.zygorguides.com/js/dropdown.js	C:/My%20Web%20Sites/Death%20Knight%20Players%20Guide/www.zygorguides.com/js/dropdown.js	(from )
08:43:38	6104/6104	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Oct%202009%2013:43:35%20GMT	http://www.zygorguides.com/members/index.php	C:/My%20Web%20Sites/Death%20Knight%20Players%20Guide/www.zygorguides.com/members/index.html	(from )
08:43:39	3798/3798	---M--	200	added ('OK')	image/png	etag:%225958566-ed6-45b5eae1c8240%22	http://www.zygorguides.com/img/finisher.png	C:/My%20Web%20Sites/Death%20Knight%20Players%20Guide/www.zygorguides.com/img/finisher.png	(from )
08:43:39	3795/3795	---M--	200	added ('OK')	image/png	etag:%22595856d-ed3-45b5eadeebb80%22	http://www.zygorguides.com/img/frost.png	C:/My%20Web%20Sites/Death%20Knight%20Players%20Guide/www.zygorguides.com/img/frost.png	(from )
08:43:39	3130/3130	---M--	200	added ('OK')	image/png	etag:%225958618-c3a-45b5eae3b06c0%22	http://www.zygorguides.com/img/unholy.png	C:/My%20Web%20Sites/Death%20Knight%20Players%20Guide/www.zygorguides.com/img/unholy.png	(from )
08:43:40	3787/3787	---M--	200	added ('OK')	image/png	etag:%225958534-ecb-45b5eada27040%22	http://www.zygorguides.com/img/blood.png	C:/My%20Web%20Sites/Death%20Knight%20Players%20Guide/www.zygorguides.com/img/blood.png	(from )
08:43:40	67/67	---M--	200	added ('OK')	image/gif	etag:%22595852d-43-458a98449f7c0%22	http://www.zygorguides.com/img/back.gif	C:/My%20Web%20Sites/Death%20Knight%20Players%20Guide/www.zygorguides.com/img/back.gif	(from http://www.zygorguides.com/members/dkplayers.php)
08:43:44	28313/28313	---M--	200	added ('OK')	image/png	etag:%22595854a-6e99-4742e85be4700%22	http://www.zygorguides.com/img/deathknightglyphs.png	C:/My%20Web%20Sites/Death%20Knight%20Players%20Guide/www.zygorguides.com/img/deathknightglyphs.png	(from )
08:43:46	55535/55535	---M--	200	added ('OK')	image/jpeg	etag:%225958547-d8ef-4742e84d96540%22	http://www.zygorguides.com/img/deathknight.jpg	C:/My%20Web%20Sites/Death%20Knight%20Players%20Guide/www.zygorguides.com/img/deathknight.jpg	(from )
08:43:46	36175/36175	---M--	200	added ('OK')	image/png	etag:%2259585d3-8d4f-459382ead69c0%22	http://www.zygorguides.com/img/portal.png	C:/My%20Web%20Sites/Death%20Knight%20Players%20Guide/www.zygorguides.com/img/portal.png	(from http://www.zygorguides.com/members/dkplayers.php)
08:43:46	2837/2837	---M--	200	added ('OK')	image/png	etag:%2259585b6-b15-475d231be9c40%22	http://www.zygorguides.com/img/nav.png	C:/My%20Web%20Sites/Death%20Knight%20Players%20Guide/www.zygorguides.com/img/nav.png	(from http://www.zygorguides.com/members/dkplayers.php)
08:43:47	673/673	---M--	200	added ('OK')	image/gif	etag:%22595864f-2a1-4594c8b7611c0%22	http://www.zygorguides.com/js/graphics/loader.white.gif	C:/My%20Web%20Sites/Death%20Knight%20Players%20Guide/www.zygorguides.com/js/graphics/loader.white.gif	(from http://www.zygorguides.com/members/dkplayers.php)
08:43:47	1897/1897	---M--	200	added ('OK')	image/jpeg	etag:%2259585e8-769-458a984b4c780%22	http://www.zygorguides.com/img/rss-feed.jpg	C:/My%20Web%20Sites/Death%20Knight%20Players%20Guide/www.zygorguides.com/img/rss-feed.jpg	(from http://www.zygorguides.com/members/dkplayers.php)
08:43:47	209/209	---M--	200	added ('OK')	image/gif	etag:%22595864b-d1-4594c8b578d40%22	http://www.zygorguides.com/js/graphics/fullexpand.gif	C:/My%20Web%20Sites/Death%20Knight%20Players%20Guide/www.zygorguides.com/js/graphics/fullexpand.gif	(from http://www.zygorguides.com/members/dkplayers.php)
08:43:48	4139/4139	---M--	200	added ('OK')	image/png	etag:%22595853f-102b-459b0c6d7f300%22	http://www.zygorguides.com/img/button-download.png	C:/My%20Web%20Sites/Death%20Knight%20Players%20Guide/www.zygorguides.com/img/button-download.png	(from http://www.zygorguides.com/members/dkplayers.php)
